label,text
spam,Congratulations you won a free iPhone claim now
spam,URGENT your account has been suspended click here to verify
spam,You have been selected for a $1000 gift card reply YES
spam,Free entry into our weekly prize draw text WIN to 80085
spam,Claim your lottery winnings today send your bank details
spam,Limited time offer buy one get one free click the link
spam,Your loan has been approved get cash now no credit check
spam,Hot deals just for you meet exclusive offers tonight
spam,Act now to double your bitcoin investment guaranteed returns
spam,Final notice your warranty is about to expire call immediately
spam,Get cheap meds online no prescription needed order now
spam,You are a winner claim your reward before it expires
spam,Earn $5000 a week working from home no experience required
spam,Your package could not be delivered update your details here
spam,Reply STOP to unsubscribe or click to claim your free vacation
spam,Verify your paypal account now to avoid permanent closure
spam,Exclusive deal only for you flat 90% off luxury watches
spam,Your number won the grand prize collect your cash reward
spam,You have unclaimed funds waiting transfer them to your account
spam,Refinance your mortgage today lowest rates ever apply now
ham,Hey are we still meeting for lunch tomorrow
ham,Can you send me the notes from today lecture
ham,I will be late to the office due to traffic
ham,Happy birthday hope you have a great day
ham,Let me know when you reach home safely
ham,The project deadline got moved to next Friday
ham,Thanks for helping me with the assignment yesterday
ham,Are you coming to the team dinner tonight
ham,Please review the document and share your feedback
ham,My flight landed I will call you in an hour
ham,Do you want to grab coffee after the meeting
ham,The report looks good just fix the last section
ham,Mom asked if you are coming home this weekend
ham,Lets catch up over the weekend it has been a while
ham,I pushed the code changes please pull the latest
ham,Reminder we have a standup at 10 am tomorrow
ham,Can you pick up some groceries on your way back
ham,Great work on the presentation today everyone loved it
ham,I am stuck on this bug can you help me debug it
ham,See you at the gym in the evening
